phenotype,PVE,PVESE,Vg,Ve
V 1,0.289861,0.0859355,0.337066,0.616621
V 2,0.282289,0.0831018,0.326352,0.619572
V 3,0.49472,0.0866407,0.640033,0.488116
V 4,0.253489,0.0794747,0.293245,0.644847
V 5,0.297719,0.0834347,0.358916,0.632186
V 6,0.302552,0.0835852,0.36593,0.629882
V 7,0.50498,0.0760852,0.732254,0.535992
V 8,0.304637,0.0831455,0.354159,0.603639
V 9,0.278271,0.0719472,0.318062,0.61598
V 10,0.270534,0.0715007,0.309291,0.62273
V 11,0.545738,0.0781392,0.77387,0.480994
V 12,0.242531,0.0674668,0.28381,0.661872
V 13,0.631227,0.066823,0.829708,0.361949
V 14,0.632078,0.0666618,0.83097,0.361176
V 15,0.670532,0.0722036,1.28709,0.472227
V 16,0.579919,0.0716606,0.741344,0.400991
V 17,0.655054,0.0655253,0.920391,0.361905
V 18,0.653397,0.0655786,0.914856,0.362374
V 19,0.555269,0.080779,0.858548,0.513461
V 20,0.614598,0.0686911,0.84074,0.393671
V 21,0.181028,0.0619598,0.201409,0.680377
V 22,0.180529,0.0618735,0.200771,0.680516
V 23,0.21035,0.0626093,0.23913,0.670503
V 24,0.252124,0.0675243,0.296455,0.656633
V 25,0.319519,0.0723226,0.378809,0.602404
V 26,0.319572,0.0727096,0.380436,0.604844
V 27,0.23429,0.0663973,0.306331,0.747569
V 28,0.382056,0.0767134,0.458373,0.553593
V 29,0.623374,0.0660498,0.81247,0.366536
V 30,0.62488,0.0657511,0.812504,0.364207
V 31,0.591787,0.0713536,0.899549,0.463335
V 32,0.59653,0.0686344,0.78403,0.395968
V 33,0.329727,0.0761733,0.432566,0.656597
V 34,0.332351,0.07685,0.437857,0.656799
V 35,0.560493,0.0760964,0.831512,0.486996
V 36,0.315941,0.0771968,0.411717,0.665635
V 37,0.334947,0.0739534,0.407797,0.604607
V 38,0.33175,0.0737965,0.40332,0.606635
V 39,0.45663,0.0862492,0.539285,0.47918
V 40,0.400545,0.0763966,0.479355,0.535688
V 41,0.346256,0.0812928,0.452804,0.638364
V 42,0.348128,0.0816228,0.456638,0.638474
V 43,0.421318,0.0863701,0.518057,0.531321
V 44,0.336159,0.0833521,0.492835,0.726724
V 45,0.351918,0.0737918,0.44175,0.607455
V 46,0.352745,0.0742317,0.444075,0.608443
V 47,0.376454,0.0892373,0.549945,0.68018
V 48,0.403793,0.0762372,0.489013,0.539147
V 49,0.232795,0.0634355,0.273059,0.67196
V 50,0.235646,0.0637552,0.2769,0.670666
V 51,0.38865,0.0772874,0.440016,0.516829
V 52,0.110374,0.0525494,0.140984,0.848519
V 53,0.512341,0.0753862,0.755677,0.537084
V 54,0.515709,0.075218,0.763426,0.535324
V 55,0.15874,0.0551895,0.207831,0.822439
V 56,0.453401,0.0768829,0.676372,0.608863
V 57,0.0735193,0.044993,0.0884904,0.832683
V 58,0.0703175,0.0444598,0.0845755,0.834958
V 59,0.46732,0.0964594,0.650571,0.553896
V 60,0.098631,0.0476152,0.1268,0.86528
