MouseID,0-frame-rel,0-frame-abs,0-bout-avglen,0-bout-freq,1-bout-avglen,1-bout-freq,1-frame-abs,1-frame-rel,10-bout-avglen,10-bout-freq,10-frame-abs,10-frame-rel,11-bout-avglen,11-bout-freq,11-frame-abs,11-frame-rel,12-bout-avglen,12-bout-freq,12-frame-abs,12-frame-rel,13-bout-avglen,13-bout-freq,13-frame-abs,13-frame-rel,14-bout-avglen,14-bout-freq,14-frame-abs,14-frame-rel,2-bout-avglen,2-bout-freq,2-frame-abs,2-frame-rel,3-bout-avglen,3-bout-freq,3-frame-abs,3-frame-rel,4-bout-avglen,4-bout-freq,4-frame-abs,4-frame-rel,5-bout-avglen,5-bout-freq,5-frame-abs,5-frame-rel,6-bout-avglen,6-bout-freq,6-frame-abs,6-frame-rel,7-bout-avglen,7-bout-freq,7-frame-abs,7-frame-rel,8-bout-avglen,8-bout-freq,8-frame-abs,8-frame-rel,9-bout-avglen,9-bout-freq,9-frame-abs,9-frame-rel,Strain
LL3-4_BTBR_F,0.0356223255469314,3846,11.24561403508772,342.0,14.154205607476635,642.0,9087.0,0.0841653853991071,21.79766536964981,257.0,5602.0,0.0518867050738195,42.84146341463415,328.0,14052.0,0.1301520849156215,19.819767441860463,172.0,3409.0,0.0315747550154678,13.584415584415584,154.0,2092.0,0.0193764703703017,15.583333333333334,156.0,2431.0,0.022516347739103,48.42675159235669,157.0,7603.0,0.0704203175073634,40.80524344569288,267.0,10895.0,0.100911398032714,11.425339366515836,663.0,7575.0,0.0701609766037456,15.197802197802195,91.0,1383.0,0.0128095882036937,9.541353383458649,399.0,3807.0,0.0352611007168923,14.962577962577962,481.0,7197.0,0.0666598744049052,24.712294043092523,789.0,19498.0,0.1805938906692847,61.21935483870968,155.0,9489.0,0.0878887798010484,BTBR T<+> Itpr3<tf>/J
LL3-2_CBA_M,0.0934527503264826,10090,12.304878048780488,820.0,14.493951612903226,992.0,14378.0,0.1331678537357945,27.466019417475728,309.0,8487.0,0.078605896136854,58.526315789473685,38.0,2224.0,0.0205985051264714,15.542087542087542,297.0,4616.0,0.0427530124387555,12.226277372262771,274.0,3350.0,0.0310274245385249,18.87202380952381,336.0,6341.0,0.0587298205966527,23.666666666666668,21.0,497.0,0.0046031731330289,22.30909090909091,275.0,6135.0,0.0568218655354777,9.98547215496368,1239.0,12372.0,0.1145884466837703,37.193548387096776,62.0,2306.0,0.0213579823838323,11.098805646036917,921.0,10222.0,0.0946753234724782,14.950617283950615,648.0,9688.0,0.0897294593818596,18.23168103448276,928.0,16919.0,0.15670238679621,24.571428571428573,14.0,344.0,0.0031860997138067,CBA/CaJ
LL2-4_000653-M-AX10-4.28571428571429-42654-4-S334,0.0817086385907066,8822,12.549075391180654,703.0,15.862903225806452,868.0,13769.0,0.1275273458122238,21.980392156862745,204.0,4484.0,0.0415304392927599,67.98765432098766,81.0,5507.0,0.0510053811742259,14.055555555555555,180.0,2530.0,0.0234326519649158,13.630662020905923,287.0,3912.0,0.0362326223267789,20.572164948453608,388.0,7982.0,0.0739286276616436,9.0,26.0,234.0,0.0021672887588103,10.662721893491124,169.0,1802.0,0.0166899758263946,8.446448703494926,887.0,7492.0,0.0693902879530235,52.6875,208.0,10959.0,0.1015013568709537,11.46043956043956,910.0,10429.0,0.0965925404514258,15.529215358931552,599.0,9302.0,0.0861543591215997,17.110344827586207,1015.0,17367.0,0.1608517259583769,35.1875,96.0,3378.0,0.0312867582361603,BUB/BnJ
LL5-1_CByB6F1_F,0.1519880706499087,16410,12.890809112333072,1273.0,13.827140549273022,619.0,8559.0,0.079272754216488,17.207792207792206,77.0,1325.0,0.0122720410488195,50.833333333333336,12.0,610.0,0.0056497698413433,19.6375,240.0,4713.0,0.0436514184627068,17.594059405940595,404.0,7108.0,0.065833711528309,19.173986486486488,592.0,11351.0,0.1051320286378497,1.5,4.0,6.0,5.5571506636164086e-05,23.89887640449438,89.0,2127.0,0.0197000991025201,8.888440860215054,1488.0,13226.0,0.122498124461651,28.6271186440678,59.0,1689.0,0.0156433791180801,11.66641452344932,1322.0,15423.0,0.1428465578082597,14.00238663484487,419.0,5867.0,0.0543396715723957,17.073703366696996,1099.0,18764.0,0.1737906250868305,21.97222222222222,36.0,791.0,0.0073261769582009,CByB6F1/J
LL2-3_001800-M-MP16-10-42409-7-S100,0.085691263232965,9252,10.833723653395785,854.0,15.699891657638137,923.0,14491.0,0.1342144504441089,20.86,200.0,4172.0,0.0386407209476794,132.04166666666666,24.0,3169.0,0.0293510174216673,21.43380281690141,355.0,7609.0,0.0704739323324287,24.522875816993466,612.0,15008.0,0.1390028619325917,12.248995983935744,249.0,3050.0,0.0282488492067167,9.4,5.0,47.0,0.0004353101353166,20.547619047619047,252.0,5178.0,0.0479582102270096,9.316049382716049,1215.0,11319.0,0.1048356472691235,18.56140350877193,57.0,1058.0,0.0097991090035102,9.397119341563783,972.0,9134.0,0.0845983569357871,13.734751773049643,705.0,9683.0,0.0896831497929961,15.698717948717947,936.0,14694.0,0.1360946197519658,11.666666666666666,9.0,105.0,0.0009725013661328,FVB/NJ
LL1-4_BLKS_F,0.0815048763997073,8800,10.797546012269938,815.0,11.622461170848268,837.0,9728.0,0.0900999360927673,25.09701492537313,134.0,3363.0,0.0311478294695699,12.416666666666666,12.0,149.0,0.0013800257481314,19.742857142857144,315.0,6219.0,0.057599866628384,14.052,500.0,7026.0,0.0650742342709481,20.87209302325581,602.0,12565.0,0.1163759968139002,4.5,2.0,9.0,8.335725995424613e-05,16.49775784753363,446.0,7358.0,0.0681491909714825,11.45141242937853,1770.0,20269.0,0.1877298113347349,34.310344827586206,232.0,7960.0,0.0737248654706443,9.143005181347151,965.0,8823.0,0.0817179005084792,11.58904109589041,438.0,5076.0,0.0470134946141948,15.425113464447806,661.0,10196.0,0.0944345136103881,15.851851851851851,27.0,428.0,0.003964100806713,C57BLKS/J
LL1-3_NON_M,0.0709925997276996,7665,9.70253164556962,790.0,11.71326164874552,837.0,9804.0,0.0908038418434921,19.27717391304348,184.0,3547.0,0.0328520223397456,92.72972972972973,37.0,3431.0,0.0317776398781131,20.86,650.0,13559.0,0.1255823430799581,22.614754098360656,610.0,13795.0,0.1277681556743139,9.52906976744186,172.0,1639.0,0.0151802832294454,21.75,20.0,435.0,0.0040289342311218,35.14074074074074,135.0,4744.0,0.0439385379136604,8.288706739526411,1098.0,9101.0,0.0842927136492882,63.32727272727273,55.0,3483.0,0.0322592596022932,8.195180722891566,830.0,6802.0,0.0629995646898646,14.221337579617837,628.0,8931.0,0.0827181876279302,18.457272727272727,1100.0,20303.0,0.1880447165390065,38.42105263157895,19.0,730.0,0.0067611999740666,NON/ShiLtJ
LL3-2_000689-M-AX5-8.28571428571429-42850-1-S416,0.0661764024858987,7145,10.120396600566572,706.0,9.923076923076923,702.0,6966.0,0.0645185192045865,17.01260504201681,238.0,4049.0,0.037501505061638,25.84090909090909,44.0,1137.0,0.010530800507553,16.310924369747898,714.0,11646.0,0.1078642943807944,20.41755319148936,752.0,15354.0,0.1422074854819439,16.86096256684492,374.0,6306.0,0.0584056534746084,31.07894736842105,38.0,1181.0,0.0109383248895516,21.43684210526316,380.0,8146.0,0.0754475821763654,10.128304821150856,1286.0,13025.0,0.1206364789893395,42.44144144144144,222.0,9422.0,0.087265789254323,8.595348837209302,860.0,7392.0,0.0684640961757541,12.368067226890757,595.0,7359.0,0.0681584528892552,10.620031796502383,629.0,6680.0,0.061869610721596,58.4054054054054,37.0,2161.0,0.0200150043067917,SWR/J
LL2-2_B6SJLF1_M,0.0393631505339495,4250,9.42350332594235,451.0,16.047483380816715,1053.0,16898.0,0.1565078865229834,24.04672897196261,214.0,5146.0,0.0476618288582834,20.81617647058824,136.0,2831.0,0.0262204892144967,23.031413612565444,382.0,8798.0,0.0814863525641619,18.9683698296837,411.0,7796.0,0.0722059109559225,20.9438202247191,178.0,3728.0,0.0345284294566032,38.09090909090909,11.0,419.0,0.0038807435467587,29.760593220338983,472.0,14047.0,0.1301021589530328,13.8840206185567,1164.0,16161.0,0.1496818531245079,26.968992248062012,129.0,3479.0,0.0322222119312024,8.639240506329115,632.0,5460.0,0.0505700710389093,13.976109215017065,586.0,8190.0,0.0758551065583639,16.42768273716952,643.0,10563.0,0.0978336374329668,20.3,10.0,203.0,0.0018801693078568,B6SJLF1/J
LL4-2_002106-F-AX18-4.14285714285714-42661-2-S354,0.0728635071177838,7867,11.40144927536232,690.0,16.155029585798818,845.0,13651.0,0.126434439515046,25.011904761904763,168.0,4202.0,0.0389185784808602,123.6923076923077,13.0,1608.0,0.0148931637784919,24.19277108433735,166.0,4016.0,0.0371958617751391,14.295774647887324,142.0,2030.0,0.0188016930785688,18.16467780429594,419.0,7611.0,0.0704924561679741,22.607142857142858,28.0,633.0,0.0058627939501153,27.24418604651163,258.0,7029.0,0.0651020200242662,11.495137046861185,1131.0,13001.0,0.1204141929627948,34.57142857142857,49.0,1694.0,0.0156896887069436,11.897005988023952,835.0,9934.0,0.0920078911539423,12.52135231316726,562.0,7037.0,0.0651761153664477,24.59082397003745,1068.0,26263.0,0.2432457464642629,33.166666666666664,42.0,1393.0,0.0129018514573627,KK/HlJ
